top_prop,qini,n_obs
0.1,33.53503999999998,50000
0.2,43.90593999999999,100000
0.3,48.048799999999915,150000
0.4,52.77348499999994,200000
0.5,54.89977600000009,250000
0.6,56.15871333333337,300000
0.7,57.802342857142776,350000
0.8,58.328202499999975,400000
0.9,59.86307111111114,450000
1.0,62.16488000000004,500000
